TEAM_ID,TEAM_NAME,SEASON,Conference,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1610612753,Orlando Magic,2008-09,East,24,13,11,0.5416666666666666,243.125,34.5,75.41666666666667,0.4574585635359116,8.375,23.291666666666668,0.3595706618962433,19.583333333333332,27.125,0.7219662058371735,8.333333333333334,30.041666666666668,38.375,18.875,13.166666666666666,6.75,4.833333333333333,21.375,96.95833333333333,1.8333333333333333
1610612755,Philadelphia 76ers,2008-09,East,6,2,4,0.3333333333333333,240.0,34.0,75.0,0.4533333333333333,5.833333333333333,15.833333333333334,0.3684210526315789,14.666666666666666,20.666666666666668,0.7096774193548387,8.0,28.833333333333332,36.833333333333336,17.833333333333332,14.666666666666666,6.166666666666667,3.0,23.0,88.5,-7.666666666666667
1610612757,Portland Trail Blazers,2008-09,West,6,2,4,0.3333333333333333,240.0,33.333333333333336,74.5,0.44742729306487694,5.5,14.166666666666666,0.38823529411764707,15.0,19.666666666666668,0.7627118644067796,9.833333333333334,26.5,36.333333333333336,14.666666666666666,11.333333333333334,6.0,7.5,21.666666666666668,87.16666666666667,-5.333333333333333
1610612759,San Antonio Spurs,2008-09,West,5,1,4,0.2,240.0,35.0,76.6,0.45691906005221933,5.8,17.6,0.32954545454545453,14.6,20.6,0.7087378640776699,8.8,28.8,37.6,16.0,11.0,5.6,3.0,22.0,90.4,-6.0
1610612762,Utah Jazz,2008-09,West,5,1,4,0.2,240.0,35.0,81.0,0.43209876543209874,5.0,14.6,0.3424657534246575,22.4,30.2,0.7417218543046358,13.2,29.4,42.6,25.4,14.6,9.8,3.4,23.8,97.4,-9.2
1610612737,Atlanta Hawks,2009-10,East,11,4,7,0.36363636363636365,240.0,33.81818181818182,79.63636363636364,0.4246575342465753,4.545454545454546,13.636363636363637,0.3333333333333333,17.272727272727273,22.0,0.7851239669421488,13.0,26.90909090909091,39.90909090909091,16.363636363636363,11.727272727272727,6.363636363636363,5.090909090909091,21.181818181818183,89.45454545454545,-6.818181818181818
1610612738,Boston Celtics,2009-10,East,24,15,9,0.625,241.04166666666666,34.291666666666664,75.66666666666667,0.45319383259911894,5.791666666666667,15.958333333333334,0.3629242819843342,19.5,25.833333333333332,0.7548387096774194,8.833333333333334,30.291666666666668,39.125,21.125,13.916666666666666,8.0,4.583333333333333,24.583333333333332,93.875,2.75
1610612766,Charlotte Bobcats,2009-10,East,4,0,4,0.0,240.0,31.25,70.5,0.4432624113475177,4.75,17.0,0.27941176470588236,18.25,25.5,0.7156862745098039,8.5,28.0,36.5,20.25,15.5,5.5,4.5,26.75,85.5,-9.25
1610612741,Chicago Bulls,2009-10,East,5,1,4,0.2,240.0,37.8,86.2,0.4385150812064965,3.2,10.8,0.2962962962962963,18.2,22.8,0.7982456140350878,10.8,30.2,41.0,19.0,10.0,5.8,3.0,21.4,97.0,-9.2
1610612739,Cleveland Cavaliers,2009-10,East,11,6,5,0.5454545454545454,240.0,34.90909090909091,74.45454545454545,0.46886446886446886,7.181818181818182,20.636363636363637,0.34801762114537443,23.181818181818183,31.272727272727273,0.7412790697674418,8.636363636363637,31.09090909090909,39.72727272727273,21.09090909090909,14.909090909090908,6.090909090909091,6.636363636363637,21.90909090909091,100.18181818181819,1.2727272727272727
1610612742,Dallas Mavericks,2009-10,West,6,2,4,0.3333333333333333,240.0,34.0,79.33333333333333,0.42857142857142855,6.333333333333333,19.333333333333332,0.3275862068965517,18.5,23.333333333333332,0.7928571428571428,12.0,31.833333333333332,43.833333333333336,18.5,13.0,7.5,5.0,22.5,92.83333333333333,-0.5
1610612743,Denver Nuggets,2009-10,West,6,2,4,0.3333333333333333,240.0,37.333333333333336,78.5,0.47558386411889597,6.5,18.166666666666668,0.3577981651376147,28.166666666666668,36.833333333333336,0.7647058823529411,10.333333333333334,29.333333333333332,39.666666666666664,19.166666666666668,13.666666666666666,8.166666666666666,4.666666666666667,30.833333333333332,109.33333333333333,-1.1666666666666667
1610612747,Los Angeles Lakers,2009-10,West,23,16,7,0.6956521739130435,240.0,37.34782608695652,81.17391304347827,0.46009641135511514,6.826086956521739,20.695652173913043,0.32983193277310924,19.565217391304348,25.956521739130434,0.7537688442211056,12.782608695652174,30.130434782608695,42.91304347826087,19.652173913043477,12.478260869565217,6.695652173913044,6.217391304347826,23.217391304347824,101.08695652173913,3.8260869565217392
1610612748,Miami Heat,2009-10,East,5,1,4,0.2,240.0,33.6,77.2,0.43523316062176165,6.8,18.2,0.37362637362637363,13.6,18.6,0.7311827956989247,9.4,28.2,37.6,17.6,17.8,7.0,5.0,22.8,87.6,-8.2
